Player,Team,Position,Goals,Assists,Minutes Played,Passes Completed
Lionel Messi,Paris Saint-Germain,Forward,18,10,2200,1800
Cristiano Ronaldo,Al Nassr,Forward,15,7,2100,1600
Kylian Mbappe,Paris Saint-Germain,Forward,21,8,2500,1700
Erling Haaland,Manchester City,Forward,23,6,2300,1500
Robert Lewandowski,Barcelona,Forward,20,3,2000,1600
Neymar Jr.,Paris Saint-Germain,Forward,12,9,1800,1400
Kevin De Bruyne,Manchester City,Midfielder,5,12,2400,2200
Mohamed Salah,Liverpool,Forward,17,8,2100,1500
Karim Benzema,Al Ittihad,Forward,16,4,2000,1200
Harry Kane,Bayern Munich,Forward,22,5,2300,1500
